 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7433****** 耗时:   168s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7450****** 耗时:   177s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:19:06:775   结束时间: 20170508 08:22:03:933    历时:  177s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num =  9


 best object function value(  0.7636) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7730****** 耗时:     9s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7602****** 耗时:    18s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7573****** 耗时:    26s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7545****** 耗时:    34s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7499****** 耗时:    42s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7503****** 耗时:    51s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7504****** 耗时:    60s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7524****** 耗时:    69s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7537****** 耗时:    78s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7543****** 耗时:    87s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7556****** 耗时:    95s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7567****** 耗时:   104s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7572****** 耗时:   112s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7580****** 耗时:   121s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7596****** 耗时:   130s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7602****** 耗时:   139s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7608****** 耗时:   147s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7613****** 耗时:   156s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7622****** 耗时:   165s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7628****** 耗时:   174s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:22:04:195   结束时间: 20170508 08:24:59:290    历时:  175s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num = 26


 best object function value(  0.7730) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7916****** 耗时:    10s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7344****** 耗时:    18s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7412****** 耗时:    26s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7520****** 耗时:    35s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7581****** 耗时:    44s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7630****** 耗时:    53s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7665****** 耗时:    61s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7683****** 耗时:    69s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7691****** 耗时:    78s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7679****** 耗时:    86s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7673****** 耗时:    94s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7694****** 耗时:   105s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7712****** 耗时:   114s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7727****** 耗时:   122s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7739****** 耗时:   131s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7745****** 耗时:   140s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7750****** 耗时:   149s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7754****** 耗时:   158s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7757****** 耗时:   168s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7763****** 耗时:   178s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:24:59:682   结束时间: 20170508 08:27:57:402    历时:  178s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num =  3


 best object function value(  0.7916) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7651****** 耗时:    10s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7543****** 耗时:    19s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7528****** 耗时:    27s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7476****** 耗时:    37s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7538****** 耗时:    47s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7587****** 耗时:    56s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7608****** 耗时:    64s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7616****** 耗时:    74s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7626****** 耗时:    82s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7645****** 耗时:    93s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7658****** 耗时:   102s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7672****** 耗时:   113s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7691****** 耗时:   122s*****************************************
